Body Part,Exercise Type,Exercise Style 1,Exercise Style 2,Implementation Options ,Implementation Options 2
Abs/Hip Flexors,Abs Wheel Rollout,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Plank,"Bent-Knee
4 point
3 point
2 point
Dynamic",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Side Bridge,"Bent-Knee
Side        
Rotate and reach",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Core Row,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Kneeling Cable Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,AbMat Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Swiss Ball Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Supine Crossover Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Low Cable Pull-in,"Bilateral            
Unilateral",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,"Garhammer Leg Raise, Hanging",,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Situp,"Bent-Knee, Flat
Bent-Knee, decline",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,GH Situp,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Supine Hip Flexion,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Standing Cable Hip Flexion,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Prone Swiss Ball Pike,Unilateral,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
,Seated Knee Pull-in,Bench,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",
