Body Part,Exercise Type,Exercise Style 1,Exercise Style 2,Implementation Options ,Implementation Options 2,Video Link
Abs/Hip Flexors,Abs Wheel Rollout,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/ZhM2eKqD3Pw
,Plank,"Bent-Knee
4 point
3 point
2 point
Dynamic",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/kWO-7kTZ6jI
,Side Bridge,"Bent-Knee
Side        
Rotate and reach",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/9yPp69SdGjw
,Core Row,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/ElJTvQMuOGI
,Kneeling Cable Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/OsPA6kH1500
,AbMat Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/4Hx_MY4aF7w
,Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/Lt0BOo0UjhA
,Swiss Ball Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/lCHmHnPO6eQ
,Supine Crossover Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/-vQBxoLbGms
,Low Cable Pull-in,"Bilateral            
Unilateral",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/B3tU3N17ro8
,"Garhammer Leg Raise, Hanging",,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/gpt6g6YSJ-Q
,Situp,"Bent-Knee, Flat
Bent-Knee, decline",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/RCVyyfnOmdc
,GH Situp,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/QPvH-8Sym70
,Supine Hip Flexion,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/k7uvYxJLg0I
,Standing Cable Hip Flexion,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/onTESd44jV8
,Prone Swiss Ball Pike,Unilateral,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/WaFyQyUxkuk
,Seated Knee Pull-in,Bench,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/jRftmWX9wRY
,Prone TRX Knee Pull-In,Swiss Ball,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/YPUu7RvvvlI
,Land Mine ,Rotation,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/_GqmUk4ping
,Standing Side Flexion,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/C0qA6UsICXQ
,45 Degree Side Flexion,Swiss Ball,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/iNSPDLvFyak
,Upright Leg Raise,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/RXp68rG4sSg
,Hanging Leg Raise,"Twisting
Straight Leg
Bent-Knee",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/qEb8CY-rdSU
,Leg Lowering,"Bilateral            
Alternating",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/veGOzWBKUrc
,Reverse Crunch,"Incline
Flat
AbMat",,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/TwAIrUvCdDo
,Toes to Bar,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/3Owcn1KwZB4
,Supine Windsheild Wipers,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/FuBLXTaB4E0
,Cable Woodchop,Standing,Horizontal,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/MxvE2k6BLmA
,Seated Cable Woodchop,Kneeling,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/hlzmmatZrfg
,Kneeling Cable Woodchop,Seated,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/3ZIPmD1m_0k
,Cable Reverse Woodchop,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/tCIfz4ud7KM
,Russian Twist,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/L5q8GsNy2A8
,Forward Ball Rollout,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/oVXaLr2YpOM
,TRX  Kneeling Rollout,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/KjC0ghYVH4E
,TRX Crunch,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/LxdwG_zPdnc
,Stir The Pot,,,"Low Pulley
Mid Pulley
High Pulley
Dumbbell
Weighted
Medicine Ball
Kettlebell
Swiss Ball
AbMat
Slant Bench
Ab Bench",,https://youtu.be/z3-vc8u9qSY
Back,Bent-Over Row - Pronated Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",,https://youtu.be/g9TcmxLOd7c
,Bent-Over Row - Elbows Out,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",,https://youtu.be/74_vWr-JKcs
,Bent-Over Row - Supinated Grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",,https://youtu.be/6aldTWpwDew
,Bent-Over Row - Neutral grip,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",,https://youtu.be/5hIHWT2p3Us
,Bent-Over DB Row - Neutral,"Pronated Grip
Semi-Pronated Grip
Neutral Grip
Semi-Supinated Grip
Supinated Grip
Supinating Grip","30°  Incline
45°  Incline
60°  Incline        
75°  Incline
Close Grip
Medium Grip
Wide Grip","Barbell
Dumbbell
T-Grip Barbell
Football Bar
Thick Barbell
TRX
Kettlebell
EZ Bar
Log Bar
Low Pulley
Mid Pulley
High Pulley
Thick Dumbbell
Cambered Bar
Fat Gripz
Stirrup Handles
Rope Attachment
add Custom",,https://youtu.be/SW4ZFr1p5QU
